열다,to open,닫다,to close
이기다,to win,지다,to lose
늘다,to increase ,줄다 ,to decrease
자다,to sleep ,깨다 / 일어나다,to wake up
밀다 ,to push ,당기다,to pull
성공하다 ,to pass ,실패하다,to fail
죽다 ,to die ,태어나다,to be born
수입하다,to import ,수출하다,to export
나가다,to go out ,들어오다,to come in
필요하다,to need ,필요없다,to not need
가다,to go,오다,to come
빠르다,to be fast ,느리다,to be slow
유창하다,to be fluent ,서투르다,to be unskilled
알다,to know ,모르다,to not know
이르다,to be early ,늦다,to be late
우연하다,to do on accident ,의도하다,to do on purpose
바쁘다,to be busy ,한가하다,to be free
있다,to exist ,없다,to not exist
가능하다 ,to be possible ,불가능하다,to be impossible
좋다,to be good ,나쁘다,to be bad
뚱뚱하다 ,to be fat ,날씬하다,to be thin
재미있다,to be fun ,재미없다,to not be fun
맛있다 ,to be delicious ,맛없다,to taste bad
근면하다 / 부지런하다,to be diligent,게으르다,to be lazy
약하다 ,to be weak ,강하다,to be strong
단순하다 ,to be simple ,복잡하다,to be complicated
한산하다,to not be crowded ,복잡하다,to be crowded
건강하다,to be healthy ,병약하다,to not be healthy
행복하다,to be happy , 슬프다,to be sad
겸손하다,to be humble ,거만하다,to be arrogant
예쁘다,to be pretty ,못생기다,to be ugly
잘생기다,to be good looking,못생기다,to be ugly
사귀다,to get together ,헤어지다,to break up
쓸모있다,useful , 쓸모없다,useless
낙관하다 ,to be optimistic , 비관하다 ,to be pessimistic
편하다,to be comfortable , 불편하다 ,to be uncomfortable
보수적이다,conservative , 개방적이다,liberal
 충분하다 ,to be sufficient , 부족하다,to be insufficient
유능하다,to be efficient , 무능하다,to be inefficient
가짜 ,fake, imitation ,  진짜 ,genuine
진심,sincere , 가식,insincere
최고,best , 최악,worst
흡연구역,smoking section , 비흡연구역,non smoking section
알뜰하다,to be thrifty , 낭비하다,to be wasteful
흥미롭다,to be interesting, 관심이 없다,to not be interesting
같다,to be the same , 다르다 ,to be different
젊다,to be young , 늙다 ,to be old
가깝다,to be close , 멀다 ,to be far
깨끗하다,to be clean , 더럽다,to be dirty
길다 ,to be long , 짧다,to be short
조용하다 ,to be quiet , 시끄럽다,to be noisy
좋다,to be good , 싫다 ,to dislike
높다,to be high , 낮다,to be low
가볍다,to be light , 무겁다,to be heavy
넓다,to be wide , 좁다,to be narrow
밝다,to be bright , 어둡다 ,to be dark
달다,to be sweet , 쓰다,to be bitter
덥다,to be hot , 춥다,to be cold
뜨겁다,to be hot , 차갑다,to be cold
안전하다,to be safe , 위험하다,to be dangerous
맑다,to be clear , 흐리다,to be cloudy
얇다,to be thin , 두껍다,to be thick
꽉끼다,to be tight, 헐렁하다/느슨하다,to be loose
