Persian,Spanish,German,English,Italian,Turkish,Korean
گربه,gato,katze,cat,gatto,kedi,고양이
سگ,perro,hund,dog,cane,köpek,개
میمون,mono,affe,monkey,scimmia,maymun,원숭이
قورباغه,rana,Frosch,frog,rana,kurbağa,개구리
کبوتر,paloma,Taube,pigeon,piccione,güvercin,비둘기
کلاغ,cuervo,Krähe,crow,corvo,karga,까마귀
جغد,búho,eule,owl,gufo,baykuş,올빼미
طوطی,loro,papagei,parrot,pappagallo,papağan,앵무새
سنجاب,ardilla,Eichhörnchen,squirrel,scoiattolo,sincap,다람쥐
اسب,caballo,pferd,horse,cavallo,atış,말
گرگ,lobo,wolf,wolf,lupo,Kurt,늑대
خر,burro,esel,donkey,asino,eşek,당나귀
الاغ,burro,esel,donkey,asino,eşek,당나귀
گوسفند,oveja,schaf,sheep,sheep,koyun,양
ببعی,oveja,schaf,sheep,sheep,koyun,양
پلنگ,leopardo,leopard,leopard,leopardo,leopar,표범
ببر,tigre,tiger,tiger,tigre,kaplan,호랑이
بز,cabra,ziege,goat,capra,keçi,염소
مرغ,pollo,huhn,chicken,pollo,tavuk,닭
خروس,gallo,hahn,rooster,gallo,horoz,수탉
جوجه تیغی,Erizo,Igel,Hedgehog,riccio,Kirpi,고슴도치
اسب آبی,hipopótamo,Nilpferd,hippopotamus,ippopotamo,su aygırı,하마
ماهی,pez,fisch,fish,pesce,balık,생선
لاما,llama,lama,llama,lama,lama,야마
شیر,León,Löwe,lion,leone,aslan,사자
پنگوئن,Pingüino,Pinguin,Penguin,Pinguino,Penguen,펭귄
زرافه,jirafa,giraffe,giraffe,giraffa,zürafa,기린
گاو,vaca,kuh,cow,mucca,inek,암소
