و,and,موزه,روستایی,آنچه
در,regarding,وقتی,تمام,آن
به,to,جهت,شیخ,فرزند
از,than,ه,عمومی,شکل
که,that,ق,بار,زیادی
این,this,مهر,نرم,محمدرضا
با,with,نیمه,گروهی,بیست
رده,row,ترانه,اکنون,راک
آن,those,فضای,جایزه,زمینه
سال,year,متولد,پاریس,پیشنهاد
برای,in order to,کاهش,نور,بازی‌های
یک,one,شیمیایی,مواد,مطالعه
ایران,Iran,تلویزیونی,گونه,اینترنت
او,she,نوعی,عمده,اجرای
بر,over,تقسیم,معماری,آنان
نام,title,یادکرد,بن,دور
منابع,sources,سیارک,اواخر,نیست
تا,until,حق,شبه,اختلاف
خود,their,مساحت,تحصیل,ویکی‌پدیای
یا,or,ثبت,می‌گردد,درگذشتگان
کرد,Kurdish,عضو,مجموعه,نشان
تاریخ,history,نسخه,عملیات,مسائل
شهر,town,اضافه,خواهد,آنها
نیز,too,جنبش,کاهش,جامع
سیارک,asteroid,عملیات,بالای,خوانده
شهرستان,province,منتشر,درجه,هنر
دو,two,شیخ,بودن,اصل
قرار,agreement,کلیسای,حتی,مدتی
پس,then,نمونه,هاي,شدت
استان,province,منبع,داخل,زیادی
یکی,one,زنده,پایان,سال
بخش,portion,مصرف,کنید,مانند
دیگر,other,گزارش,‌ها,خورشیدی
عنوان,title,ریاست,خدا,شوروی
بیرون,outside of,قاجار,فارسی,ششم
وی,she,انواع,گذشته,رسمی
زبان,tongue,استقلال,دور,یکی
تهران,Tehran,تر,ترک,کنند
پیوند,transplantation,پرونده,متولد,سید
هم,too,آباد,شیخ,افزایش
دانشگاه,University,تقسیم,فضایی,متولد
استفاده,utilization,هر,تصویب,مسلمانان
میلادی,A.D.,می‌توانند,خبر,مشخص
هر,every,انتشارات,مقاله,حتی
مطلق,unconditional,آن‌ها,ها,کمونیست
نفر,person,ارائه,کرده‌اند,پنجم
کشور,country,بشر,موضوع,پانویس
ملی,national,مالی,كه,شروع
جمعیت,society,ابتدا,پنج,یافته
وجود,presence,خاک,روستای,تولد
آمریکا,America,گرفتن,بریتانیا,طور
توسط,through,وبگاه,دولت,دورهٔ
برابر,times more,شهرداری,بشر,فرزند
کار,work,مطالعه,هنوز,آن‌ها
آنها,they,تابع,تعریف,بدین
کوچک,small,فرزند,روی,حسن
مورد,under,بنام,رفته,مقاله
فیلم,negative,ه,مقدس,تلویزیونی
صورت,face,غیر,دارای,قتل
محمد,Mohammed,خواننده,قرن,وب
کتاب,book,قرمز,انتشارات,تو
اما,but,به,خاک,المللی
روی,zinc,دهد,حفظ,مشهور
زمان,time,صنعتی,درباره,میرزا
ها,what,اسکار,نامیده,جدید
دست,hand,بدین,بازیگران,زبان
سپتامبر,September,سازمان,بیشتری,بوده‌است
بین,between,نسبت,مشهور,تاریخچه
دهستان,rural district,تلاش,پل,این
مرکزی,central,تلویزیونی,امکان,نموده
زندگی,life,دادن,انتخاب,روم
مرکز,center,عدد,ورودی,مناسب
بعد,then,عبور,آن,بهره
همچنین,too,فرمان,تعدادی,گسترش
پیش,to,سطح,کنار,زنان
روز,daytime,زنده,گرفت,شهری
دارای,with,ش,هدف,به‌
شود,dill,بستک,درون,گاهی
منبع,source,باشد,روستایی,غیر
فارسی,Persian,گفته,هند,پیرامون
اول,first,هنر,مقاله,می‌رود
اسلامی,Islamic,علم,شهرداری,نخستین
مردم,people,شرایط,دارای,دینی
گروه,group,کره,خبرگزاری,مرداد
بزرگ,large,موارد,یادکرد,کشاورزی
آب,water,می‌گیرد,ایشان,کوچک
اهل,inhabitant,دومین,شمسی,ايران
ناسا,NASA,ایالت,آموزش,یعنی
وابسته,related,انرژی,کتاب,تو
تصویر,portrait,بدست,عضو,آمریکا
اصلی,original,یونان,افغانستان,می
شرکت,participation,توزیع,خلیج,سیارک‌ها
جنگ,war,دره,نزد,ازدواج
کند,slow,فارس,براي,اصول
فهرست,list,گلستان,مصر,ارتباط
انگلیسی,English,درگاه,كه,استرالیا
نظر,view,آثار,دید,فرهنگ
جعبه,case,كه,تئاتر,رضا
مانند,such as,سعید,بخش‌های,افراد
بیشتر,the majority of,بخش‌های,می,چه
موسیقی,music,مناسب,گروهی,ثبت
منطقه,zone,دار,آذر,ايران
دوره,period,اتحاد,عبارتند,اسماعیل
بسیار,very,ارتباط,مدتی,عوامل
زیر,under,فوریه,برادر,آمریکایی
سه,three,بازیکنان,شش,موسوی
چاپ,publishing,مطلق,انتخاب,روی
ایرانی,Persian,هفتم,اختلاف,الکتریکی
علی,Ali,انسانی,خواننده,رودخانه
سازمان,organization,شهرت,میراث,عربی
داد,shout,قهرمان,توانست,ساعت
آثار,works,کنند,کمک,برنامه‌های
اطلاعات,news,ماشین,آن,هفته
بن,foundation,تأسیس,صنعتی,آهن
انجام,fulfillment,بریتانیا,آلمان,مصرف
ولی,but,امام,می‌گیرد,پرونده
جهان,world,سیارک,بندی,اهمیت
آمار,statistics,داخلی,اعداد,سلطنت
مرگ,death,هنرمند,دیده,توان
جمهوری,republic,کنار,ایالات,کد
میان,middle,حساب,بازیگر,تئاتر
راه,way,میراث,بر,دولت
چند,several,چاپ,جنسی,نظر
بازی,play,منجر,نمایش,عنوان
برخی,some,گرفتن,جز,بستک
اولین,first,آثار,استفاده,نزدیکی
حال,state,شماره,درون,تدریس
آغاز,start,تدریس,سمت,شمسی
فعالیت,activity,ارومیه,سنگ,تصویر
داده,given,تدریس,دادگان,رفته
روستا,village,پر,متن,تیم
اثر,trace,وجود,اغلب,بازدید
جنوب,south,همان,امر,بعدها
شرقی,oriental,کاهش,استقلال,بی‌بی‌سی
غربی,westerner,صفحه,سازمان,چون
نوع,type,شبیه,قدر,غربی
شاه,Shah,صنایع,استقلال,خانه
رسمی,official,یکی,باستانی,اتحاد
دولت,government,مهم,این,چین
گرفته,gloomy,دولتی,چپ,مقاله
حدود,limits,کره,آنچه,است
تولید,production,داد,تنها,را
نقش,role,ساده,هشت,سازی
بار,time,سرانجام,هزار,اسماعیل
تشکیل,formation,کلیسای,بعدی,دور
فوتبال,soccer,کیلومتری,وزیر,اطلاعات
همراه,with,لحاظ,پایگاه,می‌توانند
بسیاری,many,درگاه,وقتی,فرانسوی
تنها,only,نیست,اگر,پارک
شمال,north,که,شمال,باشگاه
سیاسی,diplomatic,مه,کل,دلار
کردن,do,اعمال,روشن,وضعیت
شامل,including,اش,پادشاهی,پادشاه
ماه,moon,ارشد,آنها,مدیر
اگر,if,صد,شده‌اند,هفت
شدن,become,طبقه,شاعران,بیست
گرفت,seizure,مبارزه,تبریز,فصل
دوران,period,عبور,دنبال,ما
باید,must,باشد,کرد,تلاش
ی,of,تهران,مناسبت‌ها,ترانه
مجموعه,collection,کشف,گفته,بنابر
حزب,political party,رئیس,روابط,فرانسه
محل,source,گذشته,دارند,اجازه
ایجاد,creation,شرقی,ساخته,این
جمله,sentence,وزیر,فرد,زندگینامه
جهانی,worldwide,بزرگ,کمک,متن
اساس,foundation,نمونه,ساز,سرانجام
همین,the same,جنگ,اضافه,عبدالله
زمین,land,انتخاب,قرار,مقام
مختلف,various,اسلامی,کنار,فوق
سر,upon,تک,درصد,فناوری
شکل,way,توزیع,حد,وجود
ساخته,made,تئاتر,شهریور,مثال
نشان,sign,مسعود,وب,کنار
زادگان,children,ورود,علم,زندگینامه
انقلاب,revolution,حضور,تیم,اسفند
فرهنگ,Farhang,جستارهای,سه,شهری
طول,length,نیست,نموده,اين
همه,everybody,ویکی,بن,توضیح
متر,meter,منابع,ناحیه,سالگی
علوم,science,تاریخچه,خلیج,نقش
جایزه,trohpy,نخستین,حمایت,میزان
خط,stroke,می‌کنند,کمتر,حق
ساخت,structure,مساحت,بنا,نگاه
افراد,individuals,اواخر,شد,كه
بیش,more,کوتاه,روستا,بصورت
تیم,team,فوق,همان,روستا
درگاه,threshold,داشتند,همانند,جامع
