Zero,sefr,صفر,0,,۰
One,yek,یک,1,اول,۱
Two,do,دو,2,دوم,۲
Three,se,سه,3,سوم,۳
Four,chāhār,چهار,4,چهارم,۴
Five,panj,پنج,5,پنجم,۵
Six,shesh,شش,6,ششم,۶
Seven,haft,هفت,7,هفتم,۷
Eight,hasht,هشت,8,هشتم,۸
Nine,noh,نه,9,نهم,۹
Ten,dah,ده,10,دهم,۱۰
Eleven,yāzdah,یازده,11,یازدهم,۱۱
Twelve,davāzdah,دوازده,12,دوازدهم,۱۲
Thirteen,sizdah,سیزده,13,سیزدهم,۱۳
Fourteen,chāhārdah,چهارده,14,چهاردهم,۱۴
Fifteen,pānzdah,پانزده,15,پانزدهم,۱۵
Sixteen,shānzdah,شانزده,16,شانزدهم,۱۶
Seventeen,hefdah/hevdah,هفده,17,هفدهم,۱۷
Eighteen,hejdah/hezhdah,هجده,18,هجدهم,۱۸
Nineteen,nūzdah,نوزده,19,نوزدهم,۱۹
Twenty,bist,بیست,20,بیستم,۲۰
Twenty One,bisto yek,بیست و یک,21,بیست و یکم,۲۱
Twenty Two,bisto do,بیست و دو,22,بیست و دوم,۲۲
Twenty Three,bisto se,بیست و سه,23,بیست و سهم,۲۳
Twenty Four,bisto chāhār,بیست و چهار,24,بیست و چهارم,۲۴
Twenty Five,bisto panj,بیست و پنج,25,بیست و پنجم,۲۵
Twenty Six,bisto shesh,بیست و شش,26,بیست و ششم,۲۶
Twenty Seven,bisto haft,بیست و هفت,27,بیست و هفتم,۲۷
Twenty Eight,bisto hash,بیست و هشت,28,بیست و هشتم,۲۸
Twenty Nine,bisto noh,بیست و نه,29,بیست و نهم,۲۹
Thirty,si,سی,30,سیم,۳۰
Forty,chehel,چهل,40,چهلم,۴۰
Fifty,panjāh,پنجاه,50,پنجاهم,۵۰
Sixty,shast,شصت,60,شصتم,۶۰
Seventy,haftād,هفتاد,70,هفتادم,۷۰
Eighty,hashtād,هشتاد,80,هشتادم,۸۰
Ninety,navad,نود,90,نودم,۹۰
One Hundred,sad,صد,100,صدم,۱۰۰
