sí,yes,no,no
largo,long,corto,short
todo,everything,nada,nothing
cerca,close,lejos,far
cercano,close,lejos,far
ancho,wide,estrecho,narrow
alto,tall,bajo,short
gordo,fat,delgado,thin
grueso,obese,falco,skinny
izquierda,left,derecho,right
temprano,early,tarde,late
brillante,bright,deslucido,dull
rápido,fast,lento,slow
rapidamente,fast,despacio,slow
difícil,difficult,fácil,easy
subir,to go up,bajar,to go down
encima de,on top of,debajo de,beneath
dentro,inside,fuera,outside
dentro,inside,afuera,outside
guapo,good looking,feo,ugly
bonito,beautiful,feo,ugly
lindo,beautiful,feo,ugly
interesante,interesting,aburrido,boring
buen,good,mal,bad
bueno,good,malo,bad
maravilloso,wonderful,terrible,terrible
negro,black,blanco,white
dulce,sweet,agrio,sour
fuerte,strong,débil,weak
siempre,always,nunca,never
todos,everything,nada,nothing
simpático,pleasant,antipático,unpleasant
simpático,nice,antipático,unpleasant
divertido,amusing,serio,serious
divertido,fun,serio,serious
morena,dark-haired,rubio,blonde
ganar,to win,perder,to lose
despierto,awake,dormido,asleep
abierto,open,cerrado,closed
cubierto,covered,descubierto,uncovered
grande,big,pequeño,small
caliente,hot,frío,cold
mucho,a lot,poco,small
empieza,begins,termina,ends
correcto,right,incorrecto,wrong
exacto,right,equivocado,wrong
vacío,empty,lleno,full
parte superior,top,fondo,bottom
parte de arriba,top,parte de abajo,bottom
moderno,modern,antiguo,ancient
presente,present,pasado,past
dentro,in,fuera,out
claridad,light,oscuro,dark
luminosidad,bright,débil,dim
luminosidad,bright,bajo,dim
rico,rich,pobre,poor
barato,cheap,caro,expensive
ambicioso,ambitious,perezoso,lazy
saludable,well,indispuesto,sick
arrancar,start,parar,stop
ligero,light,pesado,heavy
alegre,happy,triste,sad
feliz,happy,triste,sad
cansado,tired,descansado,rested
valiente,brave,cobarde,cowardly
tranquilo,quiet,ruidoso,noisy
silencioso,quiet, silencioso
reparado,fixed,roto,broken
eficiante,efficient,ineficiante,inefficient
activo,active,inactivo,inactive
comprado,bought,vendido,sold
hacia adelante,forward,hacia atrás,backward
contratado,hired,despedido,fired
empleado,hired,despido,fired
vivo,alive,muerto,dead
subir,ascend,descender,descend
perdido,lost,encontrado,found
joven,young,viejo,old
fresca,fresh,rancio,stale
mojado,wet,seco,dry
limpio,clean,sucio,dirty
amor,love,odio,hate
dulce,sweet,agrio,sour
emociante,exciting,aburrido,boring
de buen humor,good mood,de mal humor,bad mood
más,more,menos,less
organizado,organized,desorganizado,disorganized
aparecer,appear,desaparecer,disappear
comedia,comedy,tragedia,tragedy
escrito,written,hablado,spoken
escribir,write,leer,read
nuevo,new,usado,used
paz,peace,guerra,war
