و,and,رو,مثال,پست
در,regarding,آنها,یک,پانویس
به,to,مدتی,یافت,دادگاه
از,than,نمود,تعداد,گذاری
که,that,رمان,جام,گاه
این,this,حفظ,مقدار,کلیسای
با,with,نقل,می‌گیرد,عربستان
رده,row,اسلامی,جمع,زبان‌های
آن,those,تن,دار,سیاه
سال,year,محیط,چون,جز
برای,in order to,بررسی,پایین,وسیله
یک,one,شیمیایی,استفاده,وی
ایران,Iran,پدر,مشهد,میزان
او,she,سینما,بصورت,ی
بر,over,نظام,اساسی,دنبال
نام,title,انسانی,حتی,گونه
منابع,sources,نویسندگان,نفت,بسیار
تا,until,اردیبهشت,متن,زندگی
خود,their,فوق,نبود,نشده
یا,or,نزدیکی,روستایی,جز
کرد,Kurdish,ترکیب,روی,پوشش
تاریخ,history,خیلی,جستارهای,اتحاد
شهر,town,موسسه,تشخیص,تعریف
نیز,too,المپیک,کم,آن‌ها
سیارک,asteroid,پایتخت,ترتیب,موسوی
شهرستان,province,هشت,دانشگاه‌های,تأسیس
دو,two,فاصله,انجمن,توسط
قرار,agreement,گفته,کاخ,ژوئن
پس,then,سفید,ژانویه,هیچ
استان,province,مهر,درگذشتگان,اين
یکی,one,کلمه,قهرمان,نخست
بخش,portion,یکی,شوروی,حاصل
دیگر,other,اهالی,سپس,فارس
عنوان,title,سرخ,خودش,سالگی
بیرون,outside of,یا,شکست,مطالعه
وی,she,بندی,ماهی,این
زبان,tongue,بسیاری,نقل,معمولاً
تهران,Tehran,آهنگ,خون,خانه
پیوند,transplantation,ها,افزایش,محل
هم,too,متحده,جز,هند
دانشگاه,University,مشهور,نمایندگان,آوریل
استفاده,utilization,اقدام,سیارک,منتشر
میلادی,A.D.,طرح,بدون,نظیر
هر,every,اش,تابع,نماید
مطلق,unconditional,حسن,نزد,تاسیس
نفر,person,همچون,نامزد,ترانه
کشور,country,شمال,اساسی,المللی
ملی,national,المپیک,یادکرد,ساخته
جمعیت,society,نامزد,دل,تاسیس
وجود,presence,سنتی,گرفت,نبود
آمریکا,America,براي,برخی,پیوند
توسط,through,آن‌ها,تنها,پاریس
برابر,times more,محمود,وبگاه,پیرامون
کار,work,يا,بعدی,شهر
آنها,they,بسته,فرزندان,ویکی‌پدیای
کوچک,small,برق,می‌گویند,سایر
مورد,under,فناوری,می‌رود,تأسیس
فیلم,negative,کنونی,اثر,زاده
صورت,face,دنیا,دهد,چنین
محمد,Mohammed,درگاه,موسوی,خیابان
کتاب,book,پرونده,اتحادیه,نخست
اما,but,ستاره,اعضای,نزد
روی,zinc,استان‌های,پارک,حالی
زمان,time,حرکت,گرم,بسته
ها,what,حاضر,عربستان,عدد
دست,hand,کاهش,رخ,خمینی
سپتامبر,September,نیز,موزه,صنایع
بین,between,ارتفاع,جرم,انگلیسی
